sort,title,releaseYear,aspectRatio,runtime,director,writer,cinematographer,editor,composer,publisher,format,resolution,hdr,discs,steelbook,slipcover,color,animation,mpaa,mpaa_cert,distributor,mpaa_reason_raw,mpaa_reason,alt_title,caseReplacement,action,sciFi,western,crime,noir,period,wuxia,fantasy,mystery,dark,gritty,comedy,heist,horror,martial arts,violent
63,Gladiator,2000,2.39,155,Ridley Scott,"David Franzoni,John Logan,William Nicholson",John Mathieson,Pietro Scalia,"Hans Zimmer,Lisa Gerard",Paramount Pictures,4K_UHD,2160,dolby vision,2,,TRUE,,,r,37084,Dreamworks Distribution L.L.C.,"Rated R for intense, graphic combat. ",intense graphic combat,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE
64,The Guyver,1991,1.85,93,"Screaming Mad George,Steve Wang",Jon Purdy,Levie Isaacks,Andy Horvitch,Matthew Morse,Unearthed Films,4K_UHD,2160,hdr10,3,,TRUE,,,r,,,,,,,TRUE,TRUE,,,,,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE
65,Heat,1995,2.4,170,Michael Mann,Michael Mann,Dante Spinotti,"Dov Hoenig,Pasquale Buba",Elliot Goldenthal,Warner Bros. Entertainment Inc,Blu-Ray,1080,,1,,,,,r,34160,"Warner Bros., A Division Of Time Warner Entertainment Company",Rated R for violence and language.,"violence,language",,,TRUE,,,TRUE,TRUE,,,,,,TRUE,,TRUE,,,TRUE
66,Horizon: An American Saga Chapter 1,2024,1.85,181,Kevin Costner,"Jon Baird,Kevin Costner",J. Michael Muro,Miklos Wright,John Debney,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,1,,TRUE,,,r,54559,New Line Cinema,"Rated R for violence, some nudity and sexuality.","violence,some nudity,sexuality",,,,,TRUE,,,TRUE,,,,,,,,,,TRUE
67,In the Mouth of Madness,1995,2.35,95,John Carpenter,Michael De Luca,Gary B. Kibbe,Edward A. Warschilka,"John Carpenter,Jim Lang",Shout! Factory LLC,Blu-Ray,1080,,1,,,,,r,32596,New Line Cinema,"Rated R for images of horror, and for language. ","images of horror,language",Horizon,,,,,,,,,,TRUE,TRUE,,,,,,TRUE
68,Inception,2010,2.4,148,Christopher Nolan,Christopher Nolan,Wally Pfister,Lee Smith,Hans Zimmer,Warner Bros. Entertainment Inc,Blu-Ray,1080,,1,,,,,pg-13,46101,Warner Bros. Pictures,Rated PG-13 for sequences of violence and action throughout.,sequences of violence and action throughout,Oliver's Arrow,,TRUE,TRUE,,,,,,,,,,,TRUE,,,TRUE
69,Indiana Jones and the Temple of Doom,1984,2.39,118,Steven Spielberg,"Willard Huyck,Gloria Katz",Douglas Slocombe,Michael Kahn,John Williams,Paramount Pictures,4K_UHD,2160,dolby vision,1,TRUE,,,,pg,27401,Paramount Pictures Corp.,,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,TRUE
70,Invasion of the Body Snatchers,1978,1.85,115,Philip Kaufman,W.D. Richter,Michael Chapman,Douglas Stewart,Denny Zeitlin,Kino Lorber Studio Classics,4K_UHD,2160,dolby vision,2,,,,,pg,25194,United Artists,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE
71,Jaws,1975,2.35,124,Steven Spielberg,"Peter Benchley,Carl Gottlieb",Bill Butler,Verna Fields,John Williams,Universal Studios,4K_UHD,2160,dolby vision,2,,,,,pg,24175,"Universal City Studios, Inc",,,,,TRUE,,,,,,,,,,,,,TRUE,,TRUE
72,Jurassic Park,1993,1.85,127,Steven Spielberg,"Michael Crichton,David Koepp",Dean Cundey,Michael Kahn,John Williams,Universal Studios,4K_UHD,2160,hdr10,2,,,,,pg-13,32451,"Universal City Studios, Inc.",Rated PG-13 for intense science fiction terror.,intense science fiction terror,,,TRUE,TRUE,,,,,,,,,,,,,,
73,The Kingdom,2007,2.35,111,Peter Berg,Matthew Michael Carnahan,Maurio Fiore,"Kevin Stitt,Colby Parker Jr.",Danny Elfman,Universal Studios,Blu-Ray,1080,,1,,,,,r,43538,Universal Studios,"Rated R for intense sequences of graphic brutal violence, and for language.","intense sequences of graphic brutal violence,language",Kingdom; Top Dog,,TRUE,,,,,,,,,,TRUE,,,,,TRUE
74,L.A. Confidential,1997,2.4,138,Curtis Hanson,"Brian Helgeland,Curtis Hanson",Dante Spinotti,Peter Honess,Jerry Goldsmith,Warner Bros. Entertainment Inc,Blu-Ray,1080,,2,,,,,r,35218,"Warner Bros., A Division Of Time Warner Entertainment Company","Rated R for strong violence and language, and for sexuality.","strong violence,language,sexuality",,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,TRUE
75,Last Action Hero,1993,2.39,130,John McTiernan,"Shane Black,David Arnott",Dean Semler,"Richard A. Harris,John Wright",Michael Kamen,Sony Pictures Home Entertainment,4K_UHD,2160,hdr10,2,TRUE,,,,pg-13,32089,Columbia Pictures,Rated PG-13 for strong action sequences.,strong action sequences,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE
76,The Last Picture Show,1971,1.85,126,Peter Bogdanovich,"Larry McMurtry,Peter Bogdanovich",Robert Surtees,Don Cambern,,The Criterion Collection,4K_UHD,2160,dolby vision,3,,,FALSE,,r,23025,Columbia Pictures Industries,,,,,,,,,,TRUE,,,,,,,,,,
77,The Lawnmower Man,1992,1.85,108,Brett Leonard,"Brett Leonard,Gimel Everett",Russell Carpenter,Alan Baumgarten,Dan Wyman,Shout! Factory LLC,Blu-Ray,1080,,2,,,,,r,31632,New Line Cinema,"Rated R for language, sensuality and a scene of violence. ","language,sensuality,a scene of violence",,,,TRUE,,,,,,,,TRUE,,,,,,TRUE
78,Le Cercle Rouge,1970,1.85,140,Jean-Pierre Melville,Jean-Pierre Melville,Henri Decae,Marie-Sophie Dubus,Eric Demarsan,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE
79,Le Doulos,1962,1.66,108,Jean-Pierre Melville,Jean-Pierre Melville,Nicolas Hayer,Monique Bonnot,Paul Misraki,Kino Lorber Studio Classics,4K_UHD,2160,,2,,TRUE,FALSE,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE
80,Le Samourai,1967,1.85,105,Jean-Pierre Melville,Jean-Pierre Melville,Henri Decae,"Monique Bonnot,Yo Maurette",François de Roubaix,The Criterion Collection,4K_UHD,2160,hdr10,2,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE
81,Legend,1985,2.35,90,Ridley Scott,William Hjortsberg,Alex Thomson,Terry Rawlings,Tangerine Dream,Arrow Video,Blu-Ray,1080,,2,,,,,pg,27735,"Universal City Studios, Inc.",,,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE
82,Licorice Pizza,2021,2.39,134,Paul Thomas Anderson,Paul Thomas Anderson,Michael Bauman,Andy Jurgensen,Jonny Greenwood,Universal Studios,Blu-Ray,1080,,2,,,,,r,53281,Metro-Goldwyn-Mayer Pictures Inc.,"Rated R for language, sexual material and some drug use.","language,sexual material,some drug use",Untitled PTA,,,,,,,TRUE,,,,,,TRUE,,,,
83,Lone Star,1996,2.39,135,John Sayles,John Sayles,Stuart Dryburgh,John Sayles,Mason Daring,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,33996,Columbia Pictures,"Rated R for brief language, sex and violence.","brief language,sex,violence",,,,,,,TRUE,,,,TRUE,,,,,,,
84,The Long Good Friday,1980,1.85,114,John Mackenzie,Barrie Keeffe,Phil Méheux,Mike Taylor,Francis Monkman,The Criterion Collection,4K_UHD,2160,dolby vision,3,,,,,r,26586,Avco Embassy Pictures,,,,,,,,,,,,,,,,,,,,TRUE
85,Lost Highway,1997,2.39,134,David Lynch,"David Lynch,Barry Gifford",Peter Deming,Mary Sweeney,Angelo Badalamenti,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,34747,October Films,"Rated R for bizarre violent and sexual content, and for strong langauge.","bizarre violent and sexual content,strong langauge",,,,,,,TRUE,,,,,TRUE,,,,,,TRUE
86,Mad Max: The Road Warrior,1982,2.39,95,George Miller,"Terry Hayes,George Miller,Brian Hannant",Dean Semler,"David Stiven,Tim Wellburn,Michael Balson",Brian May,Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,2,,TRUE,,,r,26605,Warner Bros. Inc.,,,Mad Max 2,,TRUE,TRUE,,,,,,,,,TRUE,,,,,TRUE
87,Mad Max: Fury Road,2015,2.4,120,George Miller,"George Miller,Brendan McCarthy,Nico Lathouris",John Seale,Margaret Sixel,Junkie XL,Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,2,,,,,r,49693,Warner Bros. Pictures,"Rated R for intense sequences of violence throughout, and for disturbing images.  ","intense sequences of violence throughout,disturbing images",,,TRUE,TRUE,,,,,,,,,TRUE,,,,,TRUE
88,Mallrats,1995,1.85,95,Kevin Smith,Kevin Smith,David Klein,Paul Dixon,Ira Newborn,Arrow Video,4K_UHD,2160,dolby vision,2,,TRUE,,,r,34072,Gramercy Pictures,"Rated R for strong language, including sexual dialogue, and for some scenes of sexuality and drug content.","strong language including sexual dialogue,some scenes of sexuality,drug content",,,,,,,,,,,,,,TRUE,,,,
89,The Maltese Falcon,1941,1.37,100,John Huston,John Huston,Arthur Edeson,Thomas Richards,Adolph Deutsch,Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,2,,TRUE,FALSE,,,,,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,
90,Margin Call,2011,1.78,107,J.C. Chandor,J.C. Chandor,Frank DeMarco,Pete Beaudreau,Nathan Larson,Lions Gate Entertainment Inc,Blu-Ray,1080,,1,,,,,r,46691,Roadside Attractions LLC,Rated R for language.,language,,,,,,,,,,,,TRUE,TRUE,,,,,
91,The Matrix,1999,2.4,136,"Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski",Bill Pope,Zach Staenberg,Don Davis,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,3,,,,,r,36569,"Warner Bros., A Division Of Time Warner Entertainment Company",Rated R for sci-fi violence and brief language.,"sci-fi violence,brief language",,,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE
92,The Matrix Reloaded,2003,2.4,138,"Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski",Bill Pope,Zach Staenberg,Don Davis,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,3,,,,,r,39829,Warner Bros. Pictures An AOL Time Warner Company,Rated R for sci-fi violence and some sexuality.,"sci-fi violence,some sexuality",Matrix 2,,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE
93,The Matrix Revolutions,2003,2.4,129,"Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski",Bill Pope,Zach Staenberg,Don Davis,Warner Bros. Entertainment Inc,4K_UHD,2160,dolby vision,3,,,,,r,40309,Warner Bros. Pictures Inc.,Rated R for sci-fi violence and brief sexual content.,"sci-fi violence,brief sexual content",,,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE
94,Mean Streets,1973,1.85,112,Martin Scorsese,"Martin Scorsese,Mardik Martin",Kent Wakeford,Sidney Levin,,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,23765,Warner Bros. Inc.,,,,,,,,TRUE,,,,,,,TRUE,,,,,TRUE
95,Minority Report,2002,2.39,145,Steven Spielberg,"Scott Frank,Jon Cohen",Janusz Kaminski,Michael Kahn,John Williams,Paramount Pictures,Blu-Ray,1080,,2,,,,,pg-13,39066,Twentieth Century Fox Film Corp.,"Rated PG-13 for violence, brief language, some sexuality and drug content.","violence,brief language,some sexuality,drug content",,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,
96,Mission: Impossible,1996,2.39,110,Brian De Palma,"David Koepp,Robert Towne",Stephen H. Burum,Paul Hirsch,Danny Elfman,Paramount Pictures,4K_UHD,2160,dolby vision,2,TRUE,,,,pg-13,33988,Paramount Pictures Corporation,Rated PG-13 for some intense action violence.,some intense action violence,,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,TRUE,,,
97,Mona Lisa,1986,1.85,104,Neil Jordan,"Neil Jordan,David Leland",Roger Pratt,Lesley Walker,Michael Kamen,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,28212,Island Pictures,,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE
98,Mulholland Drive,2001,1.85,146,David Lynch,David Lynch,Peter Deming,Mary Sweeney,Angelo Badalamenti,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,37982,Universal Focus,"Rated R for violence, language and some strong sexuality.","violence,language,some strong sexuality",,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE
99,The New World,2005,2.35,135,Terrence Malick,Terrence Malick,Emmanuel Lubezki,"Richard Chew,Hank Corwin,Saar Klein,Mark Yoshikawa",James Horner,The Criterion Collection,Blu-Ray,1080,,3,,,,,pg-13,41705,New Line Cinema,Rated PG-13 for some intense battle sequences.,some intense battle sequences,,,,,,,,TRUE,,,,,,,,,,
100,No Country for Old Men,2007,2.35,122,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",Roger A. Deakins,Roderick Jaynes,Carter Burwell,"Buena Vista Home Entertainment, Inc.",Blu-Ray,1080,,1,,,,,r,43473,Miramax Films,Rated R for strong graphic violence and some language.,"strong graphic violence,some language",,,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,,,TRUE
101,North By Northwest,1959,1.85,136,Alfred Hitchcock,Ernest Lehman,Robert Burks,George Tomasini,Bernard Herrmann,Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,1,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,,,,
102,One False Move,1992,1.85,105,Carl Franklin,"Billy Bob Thornton,Tom Epperson",James L. Carter,Carole Kravetz,"Peter Haycock,Derek Holt",The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,31182,I.R.S. Releasing Corp.,"Rated R for strong violence and language, and for drug content.","strong violence and language,drug content",Hurricane; Star City,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE
103,Oppenheimer,2023,2.2,181,Christopher Nolan,Christopher Nolan,Hoyte Van Hoytema,Jennifer Lame,Ludwig Göransson,Universal Studios,4K_UHD,2160,hdr10,3,,,,,r,54143,Universal Studios,"Rated R for some sexuality, nudity and language.","some sexuality,nudity,language",,,,,,,,TRUE,,,,,,,,,,
104,Paper Moon,1973,1.66,102,Peter Bogdanovich,Alvin Sargent,László Kovács,Verna Fields,,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,pg,23558,Paramount Pictures Corp.,,,,,,,,,,TRUE,,,,,,TRUE,,,,
105,Paprika,2006,1.85,90,Satoshi Kon,"Seishi Minakami,Satoshi Kon",Michiya Katou,Takeshi Seyama,Susumu Hirasawa,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,2,TRUE,,,TRUE,r,43113,Sony Pictures Classics,Rated R for violent and sexual images.,violent and sexual images,,,TRUE,TRUE,,,,,,,TRUE,,,TRUE,,,,
106,The Parallax View,1974,2.39,102,Alan J. Pakula,"David Giler,Lorenzo Semple Jr.",Gordon Willis,John W. Wheeler,Michael Small,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,23909,Paramount Pictures Corp.,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE
107,Peeping Tom,1960,1.66,101,Michael Powell,Leo Marks,Otto Heller,Noreen Ackland,Brian Easdale,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
108,The Phantom Thread,2018,1.85,130,Paul Thomas Anderson,Paul Thomas Anderson,Michael Bauman,Dylan Tichenor,Jonny Greenwood,Universal Studios,4K_UHD,2160,hdr10,2,,TRUE,,,r,51134,Focus Features LLC,Rated R for language.,language,Untitled PTA Project,,,,,,,TRUE,,,,TRUE,,TRUE,,,,
109,Pineapple Express,2008,2.4,112,David Gordon Green,"Seth Rogen,Evan Goldberg",Tim Orr,Craig Alpert,Graeme Revell,Sony Pictures Home Entertainment,Blu-Ray,1080,,2,,,,,r,43851,Columbia Pictures,"Rated R for pervasive language, drug use, sexual references and violence.","pervasive language,drug use,sexual references,violence",,,TRUE,,,TRUE,,,,,,TRUE,,TRUE,,,,TRUE
110,Planet Earth,2007,1.78,550,Alastair Fothergill,,,,George Fenton,Warner Bros. Entertainment Inc,Blu-Ray,1080,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Premium Rush,2012,2.4,91,David Koepp,"David Koepp,John Kamps",Mitchell Amundsen,Jill Savitt,David Sardy,Sony Pictures Home Entertainment,Blu-Ray,1080,,1,,,,,pg-13,46598,Columbia Pictures,"Rated PG-13 for some violence, intense action sequences and language.","some violence,intense action sequences,language",,,TRUE,,,,,,,,,,,,,,,TRUE
112,Prince of Darkness,1987,2.35,102,John Carpenter,Martin Quatermass,Gary B. Kibbe,Steve Mirkovich,"John Carpenter,Alan Howarth",Shout! Factory LLC,4K_UHD,2160,dolby vision,2,,,,,r,28768,"Universal City Studios, Inc.",,,,,,,,,,,,,,TRUE,,,,TRUE,,TRUE
113,Quantum of Solace,2008,2.4,106,Marc Forster,"Paul Haggis,Neal Purvis,Robert Wade",Roberto Schaffer,"Matt Chesse,Richard Pearson",David Arnold,Twentieth Century Fox Home Entertainment LLC,Blu-Ray,1080,,1,,,,,pg-13,44263,Columbia Pictures,"Rated PG-13 for intense sequences of violence and action, and some sexual content.","intense sequences of violence and action,some sexual content",Bond 22 ,,TRUE,,,,,,,,,,TRUE,,,,,TRUE
114,Raging Bull,1980,1.85,129,Martin Scorsese,"Paul Schrader,Mardik Martin",Michael Chapman,Thelma Schoonmaker,,The Criterion Collection,4K_UHD,2160,hdr10,2,,,FALSE,,r,26171,United Artists,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,TRUE
115,Raiders of the Lost Ark,1981,2.39,115,Steven Spielberg,Lawrence Kasdan,Douglas Slocombe,Michael Kahn,John Williams,Paramount Pictures,4K_UHD,2160,dolby vision,1,,,,,pg,26345,Paramount Pictures Corp.,,,,,TRUE,,,,,TRUE,,,,,,,,,,TRUE
116,Rambo,2008,2.4,91,Sylvester Stallone,"Art Monterastelli,Sylvester Stallone",Glen MacPherson,Sean Albertson,Brian Tyler,Lions Gate Entertainment Inc,Blu-Ray,1080,,2,,,,,r,42629,Lionsgate,"Rated R for strong graphic bloody violence, sexual assaults, grisly images and language.","strong graphic bloody violence,sexual assaults,grisly images,language",John Rambo; Rambo 4; Rambo To Hell And Back,,TRUE,,,,,,,,,TRUE,TRUE,,,,,TRUE
117,Real Genius,1985,2.39,106,Martha Coolidge,"Neal Israel,Pat Proft,Peter Torokvei",Vilmos Zsigmond,Richard Chew,Thomas Newman,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,2,,,,,pg,27560,Tri-Star Pictures,,,,,,,,,,,,,,,,TRUE,,,,
118,Repo Man,1984,1.78,92,Alex Cox,Alex Cox,Robby Müller,Dennis Dolan,"Tito Larriva,Steven Hufsteter",The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,27271,"Universal City Studios, Inc.",,,,,,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,TRUE
119,Ronin,1998,2.39,122,John Frankenheimer,"J.D. Zeik,Richard Weisz",Robert Fraisse,Tony Gibbs,Elia Cmiral,Kino Lorber Studio Classics,4K_UHD,2160,dolby vision,2,,,,,r,35655,Metro-Goldwyn-Mayer Distribution Co.,Rated R for strong violence and some language.,"strong violence,some language",,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,TRUE,,,TRUE
120,The Royal Tenenbaums,2001,2.39,110,Wes Anderson,"Wes Anderson,Owen Wilson",Robert Yeoman,Dylan Tichenor,Mark Mothersbaugh,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,38556,Buena Vista Pictures Distribution,"Rated R for some language, sexuality/nudity and drug content.","some language,sexuality/nudity,drug content",,,,,,,,,,,,,,TRUE,,,,
121,Rumble Fish,1983,1.85,94,Francis Ford Coppola,"S.E. Hinton,Francis Ford Coppola",Stephen H. Burum,Barry Malkin,Stewart Copeland,The Criterion Collection,Blu-Ray,1080,,1,,,FALSE,,r,27047,"Universal City Studios, Inc.",,,,,,,,,,TRUE,,,,TRUE,,,,,,
122,Rushmore,1998,2.35,93,Wes Anderson,"Wes Anderson,Owen Wilson",Robert Yeoman,David Moritz,Mark Mothersbaugh,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,36223,Buena Vista Pictures Distribution,Rated R for language and brief nudity.,"language,brief nudity",,,,,,,,,,,,,,TRUE,,,,
123,Schindler's List,1993,1.85,196,Steven Spielberg,Steven Zaillian,Janusz Kaminski,Michael Kahn,John Williams,Universal Studios,4K_UHD,2160,dolby vision,3,,,FALSE,,r,32781,"Universal City Studios, Inc.","Rated R for language, some sexuality and actuality violence.","language,some sexuality,actuality violence",,,,,,,,TRUE,,,,TRUE,,,,,,TRUE
124,Seconds,1966,1.75,107,John Frankenheimer,Lewis John Carlino,James Wong Howe,"Ferris Webster,David Newhouse",Jerry Goldsmith,The Criterion Collection,Blu-Ray,1080,,1,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,
125,A Serious Man,2009,1.85,106,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",Roger A. Deakins,Roderick Jaynes,Carter Burwell,Universal Studios,Blu-Ray,1080,,1,,,,,r,45447,Focus Features LLC,"Rated R for language, some sexuality/nudity and brief violence.","language,some sexuality/nudity,brief violence",,,,,,,,TRUE,,,,TRUE,,TRUE,,,,
126,Silent Running,1972,1.85,90,Douglas Trumbull,"Deric Washburn,Mike Cimino,Steve Bochco",Charles F. Wheeler,Aaron Stell,Peter Schickele,Arrow Video,4K_UHD,2160,dolby vision,1,,TRUE,,,g,23100,"Universal City Studios, Inc.",,,,,,TRUE,,,,,,,,,,,,,,
127,Slacker,1991,1.33,100,Richard Linklater,Richard Linklater,Lee Daniel,Scott Rhodes,,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,31218,Orion Classics,Rated R for language.,language,,,,,,,,,,,,,,TRUE,,,,
128,The Social Network,2010,2.4,120,David Fincher,Aaron Sorkin,Jeff Cronenweth,"Angus Wall,Kirk Baxter","Trent Reznor,Atticus Ross",Sony Pictures Home Entertainment,Blu-Ray,1080,,2,,,,,pg-13,45861,Columbia Pictures,"Rated PG-13 for sexual content, drug and alcohol use and language.","sexual content,drug and alcohol use,language",Facebook,,,,,,,TRUE,,,,TRUE,,TRUE,,,,
129,Speed,1994,2.39,116,Jan De Bont,Graham Yost,Andrzej Bartkowiak,John Wright,Mark Mancina,"Buena Vista Home Entertainment, Inc.",4K_UHD,2160,hdr10,2,,,,,r,32945,Twentieth Century Fox Film Corp.,Rated R for violence and language.,"violence,language",,,TRUE,,,,,,,,,,,,,,,TRUE
130,Speed Racer,2008,2.4,135,"Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski",David Tattersall,"Zach Staenberg,Roger Barton",Michael Giacchino,Warner Bros. Entertainment Inc,Blu-Ray,1080,,3,,,,,pg,44193,Warner Bros. Pictures Inc.,"Rated PG for sequences of action, some violence, language and brief smoking.","sequences of action,some violence,language,brief smoking",,,TRUE,TRUE,,,,,,,,,,,,,,
131,Spider-Man 3,2007,2.4,139,Sam Raimi,"Sam Raimi,Ivan Raimi,Alvin Sargent",Bill Pope,Bob Murawski,Christopher Young,Sony Pictures Home Entertainment,Blu-Ray,1080,,1,,,,,pg-13,41004,Columbia Pictures,Rated PG-13 for sequences of intense action violence.,sequences of intense action violence,,,,,,,,,,,,TRUE,,,,,,
132,Stand By Me,1986,1.85,88,Rob Reiner,"Raynold Gideon,Bruce A. Evans",Thomas Del Ruth,Robert Leighton,Jack Nitzsche,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,2,TRUE,,,,r,28071,Columbia Pictures Industries,,,"Body, The",,,,,,,,,,,,,,,,,
133,Star Trek,2009,2.39,127,J.J. Abrams,"Roberto Orci,Alex Kurtzman",Dan Mindel,"Maryann Brandon,Mary Jo Markey",Michael Giacchino,Paramount Pictures,Blu-Ray,1080,,3,,TRUE,,,pg-13,44847,Paramount Pictures Corporation,"Rated PG-13 for sci-fi action and violence, and brief sexual content.","sci-fi action and violence,brief sexual content",Corporate Headquarters; Star Trek XI; Star Trek: Corporate Headquarters,,,TRUE,,,,,,,,TRUE,,,,,,
134,Star Wars: Andor,2022,2.39,546,"Toby Hanes,Susanna White,Benjamin Caron","Tony Gilroy,Dan Gilroy,Stephen Schiff,Beau Willimon","Adriano Goldman,Frank Lamm,Damian García","John Gilroy,Tim Porter,Hazel Baillie,Dan Roberts,Frances Parker,Matthew Cannings,Simon Smith,Yan Miles",Nicholas Britell,"Buena Vista Home Entertainment, Inc.",4K_UHD,2160,hdr10,3,TRUE,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,
135,Straight Outta Compton,2015,2.4,147,F. Gary Gray,"Jonathan Herman,Andrea Berloff",Matthew Libatique,Billy Fox,Joseph Trapanese,Universal Studios,4K_UHD,2160,hdr10,2,,,,,r,49915,Universal Studios,"Rated R for language throughout, strong sexuality/nudity, violence, and drug use.","language throughout,strong sexuality/nudity,violence,drug use",,,,,,,,TRUE,,,,TRUE,,,,,,
136,The Sugarland Express,1973,2.35,110,Steven Spielberg,"Hal Barwood,Matthew Robbins",Vilmos Zsigmond,"Edward M. Abroms,Verna Fields",John Williams,Universal Studios,4K_UHD,2160,dolby vision,2,,TRUE,,,pg,23713,"Universal City Studios, Inc.",,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,
137,Super 8,2011,2.4,111,J.J. Abrams,J.J. Abrams,Larry Fong,"Mary Jo Markey,Maryann Brandon",Michael Giacchino,Paramount Pictures,Blu-Ray,1080,,2,,,,,pg-13,46736,Paramount Pictures Corporation,"Rated PG-13 for intense sequences of sci-fi action and violence, language and some drug use.","intense sequences of sci-fi action and violence,language,some drug use",Darlings; Project Wickham,,,TRUE,,,,TRUE,,,,TRUE,,,,,,
138,The Taking of Pelham One Two Three,1974,2.35,104,Joseph Sargent,Peter Stone,Owen Roizman,"Gerald Greenberg,Robert Q. Lovett",David Shire,Kino Lorber Studio Classics,4K_UHD,2160,dolby vision,2,,,,,r,24080,United Artists,,,,,,,,TRUE,,,,,,TRUE,TRUE,,TRUE,,,TRUE
139,Taxi Driver,1976,1.85,114,Martin Scorsese,Paul Schrader,Michael Chapman,"Tom Rolf,Melvin Shapiro",Bernard Herrmann,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,2,TRUE,,,,r,24441,Columbia Pictures Industries,,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE
140,There Will Be Blood,2007,2.39,158,Paul Thomas Anderson,Paul Thomas Anderson,Robert Elswit,Dylan Tichenor,Jonny Greenwood,Paramount Pictures,Blu-Ray,1080,,1,,,,,r,43414,"Paramount Vantage, A Division Of Paramount Pictures Corporation",Rated R for some violence.,some violence,,,,,,,,TRUE,,,,TRUE,,,,,,TRUE
141,They Live,1988,2.35,93,John Carpenter,Frank Armitage,Gary B. Kibbe,"Gib Jaffe,Frank E. Jimenez","John Carpenter,Alan Howarth",Shout! Factory LLC,4K_UHD,2160,dolby vision,2,TRUE,,,,r,29297,"Universal City Studios, Inc.",,,,,,TRUE,,,,,,,,TRUE,,TRUE,,,,TRUE
