sort,title,releaseYear,aspectRatio,runtime,director,writer,cinematographer,editor,composer,publisher,format,resolution,hdr,discs,steelbook,slipcover,color,animation,mpaa,mpaa_cert,distributor,mpaa_reason_raw,mpaa_reason,alt_title,caseReplacement,action,sciFi,western,crime,noir,period,wuxia,fantasy,mystery,dark,gritty,comedy,heist,horror,martial arts,violent
17,Blackhat,2015,2.39,134,Michael Mann,Morgan Davis Foehl,Stuart Dryburgh,"Joe Walker,Stephen Rivkin,Jeremiah O'Driscoll,Mako Kamitsuna","Harry Gregson-Williams,Atticus Ross",Arrow Video,4K_UHD,2160,dolby vision,2,,TRUE,,,r,49378,Universal Studios,Rated R for violence and some language. ,"violence,some language",,,TRUE,,,TRUE,,,,,TRUE,,TRUE,,,,,TRUE
18,Blade Runner,1982,2.4,117,Ridley Scott,"Hampton Fancher,David Peoples",Jordan Cronenweth,Marsha Nakashima,Vangelis,Warner Bros. Entertainment Inc,Blu-Ray,1080,,5,,,,,r,26573,Ladd Company Thru Warner Bros.,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE
19,Blade Runner 2049,2017,2.4,164,Denis Villeneuve,"Hampton Fancher,Michael Green",Roger A. Deakins,Joe Walker,"Benjamin Wallfisch,Hans Zimmer",Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,2,,,,,r,51152,Warner Bros. Pictures,"Rated R for violence, some sexuality, nudity and language. ","violence,some sexuality,nudity,language",,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE
20,Blood Simple,1984,1.85,95,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",Barry Sonnenfeld,Roderick Jaynes,Carter Burwell,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,27644,Circle Releasing Corp.,,,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,TRUE
21,Blue Velvet,1986,2.35,120,David Lynch,David Lynch,Frederick Elmes,Duwayne Dunham,Angelo Badalamenti,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,28181,De Laurentiis Entertainment Group,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,TRUE
22,Bob Le Flambeur,1956,1.37,102,Jean-Pierre Melville,"Jean-Pierre Melville,Auguste Le Breton",Henri Decae,Monique Bonnot,"Eddie Barclay,Jo Boyer",Kino Lorber Studio Classics,4K_UHD,2160,,2,,TRUE,FALSE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,
23,Bottle Rocket,1996,1.85,91,Wes Anderson,"Owen Wilson,Wes Anderson",Robert Yeoman,David Moritz,Mark Mothersbaugh,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,33597,Columbia Pictures,Rated R for language.,language,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,
24,Bound,1996,1.85,108,"Lana Wachowski,Lilly Wachowski","Lana Wachowski,Lilly Wachowski",Bill Pope,Zach Staenberg,Don Davis,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,34259,Gramercy Pictures,"Rated R for strong sexuality, violence and language. ","strong sexuality,violence,language",,,,,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE
25,Bram Stoker's Dracula,1992,1.85,127,Francis Ford Coppola,James V. Hart,Michael Ballhaus,"Nicholas C. Smith,Glen Scantlebury,Anne Goursaud",Wojciech Kilar,Sony Pictures Home Entertainment,4K_UHD,2160,dolby vision,2,TRUE,,,,r,31381,Columbia Pictures,Rated R for sexuality and horror violence.,"sexuality,horror violence","Dracula, The Untold Story",,,,,,,,,,,,,,,,,TRUE
26,Burn After Reading,2008,1.85,96,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen",Emmanuel Lubezki,Roderick Jaynes,Carter Burwell,Universal Studios,Blu-Ray,1080,,1,,,,,r,44448,Focus Features LLC,"Rated R for pervasive language, some sexual content and violence. ","pervasive language,some sexual content,violence",,,,,,,,,,,,TRUE,,TRUE,,,,TRUE
